page_url,page_slug,link_text,pdf_url,file_id,subject,page_type,resource_type,chapter_name,notes
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Midterm Paper 1,https://drive.google.com/file/d/1JGBV_4ds4Eb3ftDduDD_bJEFoanzXafY/view?usp=sharing,1JGBV_4ds4Eb3ftDduDD_bJEFoanzXafY,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-01,https://drive.google.com/file/d/1GjDQIw7ZBvy81pLhVavtKUbhBUPD6W6c/view?usp=sharing,1GjDQIw7ZBvy81pLhVavtKUbhBUPD6W6c,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-02,https://drive.google.com/file/d/1Gk_kHKm04VkRwUwkLB_xB52wk7AM4axR/view?usp=sharing,1Gk_kHKm04VkRwUwkLB_xB52wk7AM4axR,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-03,https://drive.google.com/file/d/1GoFy_81PDzSm3ybtD0qspzdGczu79Nvt/view?usp=sharing,1GoFy_81PDzSm3ybtD0qspzdGczu79Nvt,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-04,https://drive.google.com/file/d/1Gp1eq14zwiDJzAol9KZdJ0JUIlbVYlKX/view?usp=sharing,1Gp1eq14zwiDJzAol9KZdJ0JUIlbVYlKX,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-05,https://drive.google.com/file/d/1H4dzRjG63oeFNmr40o8i3VWT74NEad6p/view?usp=sharing,1H4dzRjG63oeFNmr40o8i3VWT74NEad6p,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-06,https://drive.google.com/file/d/1H94r8QRLpJJkeb68TPvcwpqi_f9uqmYb/view?usp=sharing,1H94r8QRLpJJkeb68TPvcwpqi_f9uqmYb,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-07,https://drive.google.com/file/d/1HIbe3LlyXL8xlW6_vhk2B796TlelFcf-/view?usp=sharing,1HIbe3LlyXL8xlW6_vhk2B796TlelFcf-,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-08,https://drive.google.com/file/d/1HIl0XzdqYvqNimHgetuHzJc39Hsyh1Y3/view?usp=sharing,1HIl0XzdqYvqNimHgetuHzJc39Hsyh1Y3,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-09,https://drive.google.com/file/d/1HKPo9l3qKNjzamwJPRZeOYGSVqKvuy20/view?usp=sharing,1HKPo9l3qKNjzamwJPRZeOYGSVqKvuy20,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-01,https://drive.google.com/file/d/1HMw4W7FLId8_bOpP146GIfhO4QOqrzQh/view?usp=sharing,1HMw4W7FLId8_bOpP146GIfhO4QOqrzQh,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-02,https://drive.google.com/file/d/1HP1BnC1Eam-tx-bv3XDSojG-l8djQXB-/view?usp=sharing,1HP1BnC1Eam-tx-bv3XDSojG-l8djQXB-,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-03,https://drive.google.com/file/d/1HV_1gcysWjxMsktl4SPNkG4wYTh0wPVH/view?usp=sharing,1HV_1gcysWjxMsktl4SPNkG4wYTh0wPVH,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-04,https://drive.google.com/file/d/1HVadYCDuxYSxwpoiUZ_h4A8PWQsBQu8J/view?usp=sharing,1HVadYCDuxYSxwpoiUZ_h4A8PWQsBQu8J,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-05,https://drive.google.com/file/d/1HViPLiOZbdPcOYbfI7BJRTKhMFrG3jc-/view?usp=sharing,1HViPLiOZbdPcOYbfI7BJRTKhMFrG3jc-,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-06,https://drive.google.com/file/d/1HaMyIJ4dDjs2F5WXEAzBGTEKnULMYAZ1/view?usp=sharing,1HaMyIJ4dDjs2F5WXEAzBGTEKnULMYAZ1,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-07,https://drive.google.com/file/d/1HeTdHbMX1x1tuYxny6L2J4DKSxxhrH7j/view?usp=sharing,1HeTdHbMX1x1tuYxny6L2J4DKSxxhrH7j,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-08,https://drive.google.com/file/d/1Hl32yCzHSCqxvmcpT5tCkYgw-Oa4uRKh/view?usp=sharing,1Hl32yCzHSCqxvmcpT5tCkYgw-Oa4uRKh,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-09,https://drive.google.com/file/d/1Hqq_D_dw97gJml-5BVgV71qIiMiC_nSu/view?usp=sharing,1Hqq_D_dw97gJml-5BVgV71qIiMiC_nSu,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-pu-notes-economics,1st-pu-notes-economics,Chapter-10,https://drive.google.com/file/d/1HurvCBbABRTS7NQ9zdV9UxASp8zCTNN1/view?usp=sharing,1HurvCBbABRTS7NQ9zdV9UxASp8zCTNN1,Economics,notes_page,chapter_notes,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-1,https://drive.google.com/file/d/1Nl92KIE9eGW7TdJo0jiopf_6hh8IRb74/view?usp=sharing,1Nl92KIE9eGW7TdJo0jiopf_6hh8IRb74,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-4,https://drive.google.com/file/d/1UEvh88WGlorHxsEjncZaP3Z9VQNtMVIb/view?usp=sharing,1UEvh88WGlorHxsEjncZaP3Z9VQNtMVIb,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-7,https://drive.google.com/file/d/1HHkpLxTKraHC41CoK0zHS9UPuPwltqa2/view?usp=sharing,1HHkpLxTKraHC41CoK0zHS9UPuPwltqa2,Physics,resource_page,model_paper,,
https://www.pucnotes-solutions.com/1st-puc-physics,1st-puc-physics,Model Paper-2,https://drive.google.com/file/d/1rlZiWIxZ6jEANv2jXQcYDo9DkpRUArTx/view?usp=sharing,1rlZiWIxZ6jEANv2jXQcYDo9DkpRUArTx,Physics,resource_page,model_paper,,
